Metric		Current
UNIT_SIZE_COMPONENT_ROOT_NEGLIGIBLE_RISK_PERCENTAGE		22.73
UNIT_SIZE_COMPONENT_ROOT_NEGLIGIBLE_RISK_COUNT		2
UNIT_SIZE_COMPONENT_ROOT_LOW_RISK_LOC		12
UNIT_SIZE_COMPONENT_ROOT_LOW_RISK_PERCENTAGE		27.27
UNIT_SIZE_COMPONENT_ROOT_LOW_RISK_COUNT		1
UNIT_SIZE_COMPONENT_ROOT_MEDIUM_RISK_LOC		22
UNIT_SIZE_COMPONENT_ROOT_MEDIUM_RISK_PERCENTAGE		50
UNIT_SIZE_COMPONENT_ROOT_MEDIUM_RISK_COUNT		1
UNIT_SIZE_COMPONENT_ROOT_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_ROOT_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_ROOT_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_ROOT_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_ROOT_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_ROOT_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_SERVER_NEGLIGIBLE_RISK_LOC		30
UNIT_SIZE_COMPONENT_SERVER_NEGLIGIBLE_RISK_PERCENTAGE		2.91
UNIT_SIZE_COMPONENT_SERVER_NEGLIGIBLE_RISK_COUNT		5
UNIT_SIZE_COMPONENT_SERVER_LOW_RISK_LOC		173
UNIT_SIZE_COMPONENT_SERVER_LOW_RISK_PERCENTAGE		16.8
UNIT_SIZE_COMPONENT_SERVER_LOW_RISK_COUNT		11
UNIT_SIZE_COMPONENT_SERVER_MEDIUM_RISK_LOC		487
UNIT_SIZE_COMPONENT_SERVER_MEDIUM_RISK_PERCENTAGE		47.28
UNIT_SIZE_COMPONENT_SERVER_MEDIUM_RISK_COUNT		15
UNIT_SIZE_COMPONENT_SERVER_HIGH_RISK_LOC		340
UNIT_SIZE_COMPONENT_SERVER_HIGH_RISK_PERCENTAGE		33.01
UNIT_SIZE_COMPONENT_SERVER_HIGH_RISK_COUNT		5
UNIT_SIZE_COMPONENT_SERVER_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_SERVER_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_SERVER_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_EXTENSION_JS_NEGLIGIBLE_RISK_LOC		40
